@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
55,30,2,70,53,0.569106,0.9375,0.3,0.9375,0.7,0.454545,0.645161,1.453125,0.000448
56,30,2,69,54,0.560976,0.9375,0.30303,0.9375,0.69697,0.458015,0.63871,1.467803,0.000453
57,30,2,68,55,0.552846,0.9375,0.306122,0.9375,0.693878,0.461538,0.632258,1.482781,0.00053
58,29,3,68,55,0.552846,0.90625,0.298969,0.90625,0.701031,0.449612,0.625806,1.448131,0.000531
59,29,3,67,56,0.544715,0.90625,0.302083,0.90625,0.697917,0.453125,0.619355,1.463216,0.000621
60,29,3,66,57,0.536585,0.90625,0.305263,0.90625,0.694737,0.456693,0.612903,1.478618,0.000623
61,29,3,65,58,0.528455,0.90625,0.308511,0.90625,0.691489,0.460317,0.606452,1.494348,0.000649
62,29,3,64,59,0.520325,0.90625,0.311828,0.90625,0.688172,0.464,0.6,1.510417,0.00067
63,29,3,63,60,0.512195,0.90625,0.315217,0.90625,0.684783,0.467742,0.593548,1.526834,0.000718
64,29,3,62,61,0.504065,0.90625,0.318681,0.90625,0.681319,0.471545,0.587097,1.543613,0.00083
65,29,3,61,62,0.495935,0.90625,0.322222,0.90625,0.677778,0.47541,0.580645,1.560764,0.000846
66,29,3,60,63,0.487805,0.90625,0.325843,0.90625,0.674157,0.479339,0.574194,1.578301,0.000886
67,29,3,59,64,0.479675,0.90625,0.329545,0.90625,0.670455,0.483333,0.567742,1.596236,0.001059
68,29,3,58,65,0.471545,0.90625,0.333333,0.90625,0.666667,0.487395,0.56129,1.614583,0.001144
69,29,3,57,66,0.463415,0.90625,0.337209,0.90625,0.662791,0.491525,0.554839,1.633358,0.001323
70,29,3,56,67,0.455285,0.90625,0.341176,0.90625,0.658824,0.495726,0.548387,1.652574,0.001399
